SIHD_INV_DATE,QTY
4/30/2019,9030
5/31/2019,9786
6/30/2019,7434
7/31/2019,8232
8/31/2019,4662
9/30/2019,5712
10/31/2019,4116
11/30/2019,5334
12/31/2019,4074
1/31/2020,3780
2/29/2020,6384
3/31/2020,6426
4/30/2020,0
5/31/2020,630
6/30/2020,3696
7/31/2020,4914
8/31/2020,3066
9/30/2020,5880
10/31/2020,6384
11/30/2020,5964
12/31/2020,3864
1/31/2021,4242
2/28/2021,8610
3/31/2021,8274
4/30/2021,6006
5/31/2021,966
6/30/2021,4092
7/31/2021,10920
