SIHD_INV_DATE,QTY
2019-04-30,9030
2019-05-31,9786
2019-06-30,7434
2019-07-31,8232
2019-08-31,4662
2019-09-30,5712
2019-10-31,4116
2019-11-30,5334
2019-12-31,4074
2020-01-31,3780
2020-02-29,6384
2020-03-31,6426
2020-04-30,0
2020-05-31,630
2020-06-30,3696
2020-07-31,4914
2020-08-31,3066
2020-09-30,5880
2020-10-31,6384
2020-11-30,5964
2020-12-31,3864
2021-01-31,4242
2021-02-28,8610
2021-03-31,8274
2021-04-30,6006
2021-05-31,966
2021-06-30,4092
2021-07-31,10920
